Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,PesoCargaYCorreo
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,3,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,SRO,SANTA ROSALIA,SANTA ROSALIA,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,1,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,TME,TAME,TAME,COLOMBIA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,TME,TAME,TAME,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,0,0
1AE,AERO APOYO,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,1,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,7GZ,COROZITO,MANI,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,2,16
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,7KE,BELLAVISTA,PUERTO CARRENO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,6,95
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,9DI,SAN FELIPE,SAN FELIPE,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,T,47,5.075
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,9PB,LA BANDOLA,MANI,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,7KE,BELLAVISTA,PUERTO CARRENO,COLOMBIA,N,T,0,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,GRM,GUERIMA,PUERTO CARRENO,COLOMBIA,N,T,1,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,T,50,10.355
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,5,45
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,128,17.118
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,GRM,GUERIMA,PUERTO CARRENO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,2,20
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,9DI,SAN FELIPE,SAN FELIPE,COLOMBIA,N,T,37,6.675
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,N,T,114,9.305
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,3,45
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,0,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,1,23
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,LMC,LA MACARENA - META,LA MACARENA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,3,23
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,18,3.200
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,TAR,TARAIRA,TARAIRA,COLOMBIA,N,T,11,3.100
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,22,2.175
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,9,84
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,N,T,47,8.750
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,N,T,3,23
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,19,159
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,3,23
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,N,T,2,16
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,6,75
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,6,50
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,TAR,TARAIRA,TARAIRA,COLOMBIA,N,T,3,2.875
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,9,3.618
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,SRO,SANTA ROSALIA,SANTA ROSALIA,COLOMBIA,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,N,T,1,45
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,TAR,TARAIRA,TARAIRA,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,T,21,6.800
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,TAR,TARAIRA,TARAIRA,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,6,875
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,7GZ,COROZITO,MANI,COLOMBIA,N,T,3,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,7KE,BELLAVISTA,PUERTO CARRENO,COLOMBIA,N,T,3,68
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,9PB,LA BANDOLA,MANI,COLOMBIA,N,T,2,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,N,T,118,3.085
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,T,0,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,N,T,0,0
1BB,ALLAS S.A.S,01-dic-21 00:00:00,2021,12,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,LMC,LA MACARENA - META,LA MACARENA,COLOMBIA,N,T,3,23
